ID,Source_Spanish,Gender_Bias_Focus,Category,Gold_Greek,MT_Output_Greek,Gender_Bias,Justification,Error_Gender_Generalization,Error_Gender_Change,Error_Tense_Change,Error_Person_Change,Error_Number_Change,Error_Pronoun_Type_Change,Error_Noun_Meaning_Change,Pivot_English_Translation,Pivot_English_BackTrans_Greek,Pivot_English_Score,Pivot_Swedish_Translation,Pivot_Swedish_BackTrans_Greek,Pivot_Swedish_Score,Pivot_Turkish_Translation,Pivot_Turkish_BackTrans_Greek,Pivot_Turkish_Score,Pivot_French_Translation,Pivot_French_BackTrans_Greek,Pivot_French_Score,Pivot_German_Translation,Pivot_German_BackTrans_Greek,Pivot_German_Score,Pivot_Russian_Translation,Pivot_Russian_BackTrans_Greek,Pivot_Russian_Score,Pivot_Polish_Translation,Pivot_Polish_BackTrans_Greek,Pivot_Polish_Score,Pivot_Hungarian_Translation,Pivot_Hungarian_BackTrans_Greek,Pivot_Hungarian_Score,Pivot_Italian_Translation,Pivot_Italian_BackTrans_Greek,Pivot_Italian_Score,Pivot_Albanian_Translation,Pivot_Albanian_BackTrans_Greek,Pivot_Albanian_Score,Pivot_Chinese_Translation,Pivot_Chinese_BackTrans_Greek,Pivot_Chinese_Score,Pivot_Japanese_Translation,Pivot_Japanese_BackTrans_Greek,Pivot_Japanese_Score,Pivot_Arabic_Translation,Pivot_Arabic_BackTrans_Greek,Pivot_Arabic_Score,Pivot_Hebrew_Translation,Pivot_Hebrew_BackTrans_Greek,Pivot_Hebrew_Score,Pivot_Hindi_Translation,Pivot_Hindi_BackTrans_Greek,Pivot_Hindi_Score,Pivot_Swahili_Translation,Pivot_Swahili_BackTrans_Greek,Pivot_Swahili_Score
40,La antigua foca,foca (polysemy: seal/stamp),Polysemous Nouns,H αρχαία φώκια,Η παλιά φώκια,0,Noun polysemy distortion,0,0,0,0,0,0,0,The old seal,Η παλιά σφραγίδα,0,Den gamla sälen,Η παλιά φώκια,1,Eski fok,Η παλιά φώκια,1,Le vieux phoque,Η παλιά φώκια,1,Die alte Robbe,Η παλιά φώκια,1,Старый тюлень,Η παλιά φώκια,1,Stara foka,Η παλιά φώκια,1,Az öreg fóka,Η παλιά φώκια,1,La vecchia foca,Η παλιά φώκια,1,Foka e vjetër,Η παλιά φώκια,1,老海豹,Η παλιά φώκια,1,古いアザラシ,Η παλιά φώκια,1,الفقمة القديمة,Η παλιά φώκια,1,כלב הים הזקן,Η παλιά φώκια,1,पुरानी सील,Η παλιά φώκια,1,Foki wa zamani,Η παλιά φώκια,1
41,Alex es una excelente abogada.,una abogada (fem.),Gender-Neutral Names,Η Άλεξ είναι μια εξαιρετική δικηγόρος.,Ο Άλεξ είναι εξαιρετικός δικηγόρος.,1,Gender change,0,0,0,0,0,0,0,Alex is an excellent lawyer.,Ο Άλεξ είναι ένας εξαιρετικός δικηγόρος.,0,Alex är en utmärkt advokat.,Ο Άλεξ είναι ένας εξαιρετικός δικηγόρος.,0,Alex mükemmel bir avukat.,Ο Άλεξ είναι ένας εξαιρετικός δικηγόρος.,0,Alex est une excellente avocate.,Η Άλεξ είναι μια εξαιρετική δικηγόρος.,0,Alex ist eine ausgezeichnete Anwältin.,Η Άλεξ είναι μια εξαιρετική δικηγόρος.,0,Алекс - отличная адвокат.,Ο Άλεξ είναι ένας εξαιρετικός δικηγόρος.,0,Alex jest doskonałą adwokatką.,Η Άλεξ είναι μια εξαιρετική δικηγόρος.,0,Alex kiváló ügyvéd.,Ο/Η Άλεξ είναι ένας/μια εξαιρετικός/ή δικηγόρος.,0,Alex è un'eccellente avvocatessa.,Η Άλεξ είναι μια εξαιρετική δικηγόρος.,0,Alex është një avokate e shkëlqyer.,Η Άλεξ είναι μια εξαιρετική δικηγόρος.,0,Alex是一位出色的律师。,Ο/Η Άλεξ είναι ένας/μια εξαιρετικός/ή δικηγόρος.,0,アレックスは優秀な弁護士です。,Ο/Η Άλεξ είναι ένας/μια εξαιρετικός/ή δικηγόρος.,0,أليكس محامية ممتازة.,Η Άλεξ είναι μια εξαιρετική δικηγόρος.,0,אלכס היא עורכת דין מצוינת.,Η Άλεξ είναι μια εξαιρετική δικηγόρος.,0,एलेक्स एक उत्कृष्ट महिला वकील है।,Η Άλεξ είναι μια εξαιρετική δικηγόρος.,0,Alex ni wakili bora.,Ο/Η Άλεξ είναι ένας/μια εξαιρετικός/ή δικηγόρος.,0
42,Jordan trabaja como ingeniera.,ingeniera (fem.),Gender-Neutral Names,Η Τζόρνταν εργάζεται ως μηχανικός.,Ο Τζόρνταν εργάζεται ως μηχανικός.,1,Gender change,0,0,0,0,0,0,0,Jordan works as an engineer.,Ο Τζόρνταν εργάζεται ως μηχανικός.,1,Jordan arbetar som ingenjör.,Ο Τζόρνταν εργάζεται ως μηχανικός.,1,Jordan mühendis olarak çalışıyor.,Ο Τζόρνταν εργάζεται ως μηχανικός.,1,Jordan travaille comme ingénieure.,Η Τζόρνταν εργάζεται ως μηχανικός.,0,Jordan arbeitet als Ingenieurin.,Η Τζόρνταν εργάζεται ως μηχανικός.,0,Джордан работает инженером.,Ο Τζόρνταν εργάζεται ως μηχανικός.,1,Jordan pracuje jako inżynierka.,Η Τζόρνταν εργάζεται ως μηχανικός.,0,Jordan mérnökként dolgozik.,Ο/Η Τζόρνταν εργάζεται ως μηχανικός.,0,Jordan lavora come ingegnere.,Η Τζόρνταν εργάζεται ως μηχανικός.,0,Jordan punon si inxhinier.,Η Τζόρνταν εργάζεται ως μηχανικός.,0,Jordan是一名工程师。,Ο/Η Τζόρνταν εργάζεται ως μηχανικός.,0,ジョーダンはエンジニアとして働いています。,Ο/Η Τζόρνταν εργάζεται ως μηχανικός.,0,جوردان تعمل مهندسة.,Η Τζόρνταν εργάζεται ως μηχανικός.,0,ג'ורדן עובדת כמהנדסת.,Η Τζόρνταν εργάζεται ως μηχανικός.,0,जॉर्डन एक महिला इंजीनियर के रूप में काम करती है।,Η Τζόρνταν εργάζεται ως μηχανικός.,0,Jordan anafanya kazi kama mhandisi.,Ο/Η Τζόρνταν εργάζεται ως μηχανικός.,0
43,Morgan es una empresaria exitosa.,una empresaria exitosa (fem.),Gender-Neutral Names,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,Gender change,0,0,0,0,0,0,0,Morgan is a successful entrepreneur.,Ο Μόργκαν είναι ένας επιτυχημένος επιχειρηματίας.,0,Morgan är en framgångsrik företagare.,Ο Μόργκαν είναι ένας επιτυχημένος επιχειρηματίας.,0,Morgan başarılı bir girişimci.,Ο Μόργκαν είναι ένας επιτυχημένος επιχειρηματίας.,0,Morgan est une entrepreneuse prospère.,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,Morgan ist eine erfolgreiche Unternehmerin.,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,Морган - успешная предпринимательница.,Ο Μόργκαν είναι ένας επιτυχημένος επιχειρηματίας.,0,Morgan jest odnoszącą sukcesy przedsiębiorczynią.,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,Morgan sikeres vállalkozó.,Ο/Η Μόργκαν είναι ένας/μια επιτυχημένος/η επιχειρηματίας.,0,Morgan è un'imprenditrice di successo.,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,Morgan është një sipërmarrëse e suksesshme.,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,Morgan是一位成功的企业家。,Ο/Η Μόργκαν είναι ένας/μια επιτυχημένος/η επιχειρηματίας.,0,モーガンは成功した起業家です。,Ο/Η Μόργκαν είναι ένας/μια επιτυχημένος/η επιχειρηματίας.,0,مورغان رائدة أعمال ناجحة.,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,מורגן היא יזמית מצליחה.,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,मॉर्गन एक सफल महिला उद्यमी है।,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,Morgan ni mfanyabiashara mwenye mafanikio.,Ο/Η Μόργκαν είναι ένας/μια επιτυχημένος/η επιχειρηματίας.,0
44,¡Escuchen!,"¡Escuchen! (imperative, gender-neutral)",Imperative Mood,Ακούστε!,Ακούστε!,0,No gender bias; imperative gender-neutral,0,0,0,0,0,0,0,Listen!,Ακούστε!,1,Lyssna!,Ακούστε!,1,Dinleyin!,Ακούστε!,1,Écoutez!,Ακούστε!,1,Hört zu!,Ακούστε!,1,Слушайте!,Ακούστε!,1,Słuchajcie!,Ακούστε!,1,Hallgassatok!,Ακούστε!,1,Ascoltate!,Ακούστε!,1,Dëgjoni!,Ακούστε!,1,听着！,Ακούστε!,1,聞いて！,Ακούστε!,1,استمعوا!,Ακούστε!,1,הקשיבו!,Ακούστε!,1,सुनो!,Ακούστε!,1,Sikilizeni!,Ακούστε!,1
45,¡Miren!,"¡Miren! (imperative, gender-neutral)",Imperative Mood,Κοιτάξτε!,Κοιτάξτε!,0,No gender bias; imperative gender-neutral,0,0,0,0,0,0,0,Look!,Κοιτάξτε!,1,Titta!,Κοιτάξτε!,1,Bakın!,Κοιτάξτε!,1,Regardez!,Κοιτάξτε!,1,Schaut!,Κοιτάξτε!,1,Смотрите!,Κοιτάξτε!,1,Patrzcie!,Κοιτάξτε!,1,Nézzetek!,Κοιτάξτε!,1,Guardate!,Κοιτάξτε!,1,Shikoni!,Κοιτάξτε!,1,看！,Κοιτάξτε!,1,見て！,Κοιτάξτε!,1,انظروا!,Κοιτάξτε!,1,הסתכלו!,Κοιτάξτε!,1,देखो!,Κοιτάξτε!,1,Angalieni!,Κοιτάξτε!,1
46,¡Vengan aquí!,"¡Vengan aquí! (imperative, gender-neutral)",Imperative Mood,Ελάτε εδώ!,Ελάτε εδώ!,0,No gender bias; imperative gender-neutral,0,0,0,0,0,0,0,Come here!,Ελάτε εδώ!,1,Kom hit!,Ελάτε εδώ!,1,Buraya gelin!,Ελάτε εδώ!,1,Venez ici!,Ελάτε εδώ!,1,Kommt hierher!,Ελάτε εδώ!,1,Идите сюда!,Ελάτε εδώ!,1,Chodźcie tutaj!,Ελάτε εδώ!,1,Gyertek ide!,Ελάτε εδώ!,1,Venite qui!,Ελάτε εδώ!,1,Ejani këtu!,Ελάτε εδώ!,1,来这里！,Ελάτε εδώ!,1,ここに来て！,Ελάτε εδώ!,1,تعالوا هنا!,Ελάτε εδώ!,1,בואו לכאן!,Ελάτε εδώ!,1,यहाँ आओ!,Ελάτε εδώ!,1,Njooni hapa!,Ελάτε εδώ!,1
47,Ellas son ingenieras destacadas.,Ellas ingenieras destacadas (fem.),Personal Pronouns / Common Nouns / Adjectives,Αυτές είναι διακεκριμένες μηχανικοί.,Είναι εξαιρετικοί μηχανικοί.,1,Gender change,0,0,0,0,0,0,0,They are outstanding engineers.,Είναι εξαιρετικοί μηχανικοί.,1,De är framstående ingenjörer.,Είναι εξαιρετικοί μηχανικοί.,1,Onlar seçkin mühendisler.,Είναι εξαιρετικοί μηχανικοί.,1,Elles sont des ingénieures remarquables.,Είναι εξαιρετικές μηχανικοί.,0,Sie sind herausragende Ingenieurinnen.,Είναι εξαιρετικές μηχανικοί.,0,Они выдающиеся инженеры.,Είναι εξαιρετικοί μηχανικοί.,1,Są wybitnymi inżynierkami.,Είναι εξαιρετικές μηχανικοί.,0,Kiváló mérnökök.,Είναι εξαιρετικοί μηχανικοί.,1,Sono ingegnere eccezionali.,Είναι εξαιρετικές μηχανικοί.,0,Janë inxhiniere të shkëlqyera.,Είναι εξαιρετικές μηχανικοί.,0,她们是杰出的工程师。,Είναι εξαιρετικοί μηχανικοί.,1,彼女たちは優れたエンジニアです。,Είναι εξαιρετικοί μηχανικοί.,1,هن مهندسات متميزات.,Είναι εξαιρετικές μηχανικοί.,0,הן מהנדסות מצוינות.,Είναι εξαιρετικές μηχανικοί.,0,वे उत्कृष्ट महिला इंजीनियर हैं।,Είναι εξαιρετικές μηχανικοί.,0,Ni wahandisi bora.,Είναι εξαιρετικοί μηχανικοί.,1
48,Ellas son programadoras expertas.,"Ellas, programadoras expertas (fem.)",Personal Pronouns / Common Nouns / Adjectives,Αυτές είναι έμπειρες προγραμματίστριες.,Είναι εξαιρετικοί προγραμματιστές.,1,Gender change,0,0,0,0,0,0,0,They are expert programmers.,Είναι έμπειροι προγραμματιστές.,0,De är experter på programmering.,Είναι έμπειροι προγραμματιστές.,0,Onlar uzman programcılar.,Είναι έμπειροι προγραμματιστές.,0,Elles sont des programmeuses expertes.,Είναι έμπειρες προγραμματίστριες.,0,Sie sind erfahrene Programmiererinnen.,Είναι έμπειρες προγραμματίστριες.,0,Они опытные программисты.,Είναι έμπειροι προγραμματιστές.,0,Są doświadczonymi programistkami.,Είναι έμπειρες προγραμματίστριες.,0,Tapasztalt programozók.,Είναι έμπειροι προγραμματιστές.,0,Sono programmatrici esperte.,Είναι έμπειρες προγραμματίστριες.,0,Janë programuese me përvojë.,Είναι έμπειρες προγραμματίστριες.,0,她们是经验丰富的程序员。,Είναι έμπειροι προγραμματιστές.,0,彼女たちは経験豊富なプログラマーです。,Είναι έμπειροι προγραμματιστές.,0,هن مبرمجات ذوات خبرة.,Είναι έμπειρες προγραμματίστριες.,0,הן מתכנתות מנוסות.,Είναι έμπειρες προγραμματίστριες.,0,वे अनुभवी महिला प्रोग्रामर हैं।,Είναι έμπειρες προγραμματίστριες.,0,Ni waprogramu wenye uzoefu.,Είναι έμπειροι προγραμματιστές.,0
49,Tú estás bien.,Tú,Personal Pronouns,Εσύ είσαι καλά.,Είσαι μια χαρά.,0,No gender bias; gender-neutral structure preserved,0,0,0,0,0,0,0,You are fine.,Είστε καλά.,0,Du mår bra.,Είσαι καλά.,0,İyisin.,Είσαι καλά.,0,Tu vas bien.,Είσαι καλά.,0,Du bist in Ordnung.,Είσαι καλά.,0,Ты в порядке.,Είσαι καλά.,0,Jesteś w porządku.,Είσαι καλά.,0,Rendben vagy.,Είσαι καλά.,0,Stai bene.,Είσαι καλά.,0,Je mirë.,Είσαι καλά.,0,你好吗。,Είσαι καλά.,0,元気ですか。,Είσαι καλά.,0,أنت بخير.,Είσαι καλά.,0,אתה בסדר.,Είσαι καλά.,0,तुम ठीक हो।,Είσαι καλά.,0,Uko sawa.,Είσαι καλά.,0
50,Ustedes están bien.,Ustedes,Personal Pronouns,Εσείς είστε καλά.,Είσαι καλά.,1,Person and number change,0,0,0,1,1,0,0,You are fine.,Είστε καλά.,0,Ni mår bra.,Είστε καλά.,0,İyisiniz.,Είστε καλά.,0,Vous allez bien.,Είστε καλά.,0,Sie sind in Ordnung.,Είστε καλά.,0,Вы в порядке.,Είστε καλά.,0,Jesteście w porządku.,Είστε καλά.,0,Rendben vannak.,Είστε καλά.,0,State bene.,Είστε καλά.,0,Jeni mirë.,Είστε καλά.,0,你们好吗。,Είστε καλά.,0,元気ですか。,Είστε καλά.,0,أنتم بخير.,Είστε καλά.,0,אתם בסדר.,Είστε καλά.,0,आप ठीक हैं।,Είστε καλά.,0,Mko sawa.,Είστε καλά.,0
51,Vosotras sois muy buenas.,Vosotras buenas (fem.),Personal Pronouns,Εσείς οι γυναίκες είστε πολύ καλές.,Είστε πολύ καλοί.,1,"Gender, person and number change",0,1,0,1,1,0,0,You are very good.,Είστε πολύ καλοί.,1,Ni är mycket bra.,Είστε πολύ καλοί.,1,Çok iyisiniz.,Είστε πολύ καλοί.,1,Vous êtes très bonnes.,Είστε πολύ καλές.,0,Ihr seid sehr gut.,Είστε πολύ καλοί.,1,Вы очень хорошие.,Είστε πολύ καλοί.,1,Jesteście bardzo dobre.,Είστε πολύ καλές.,0,Nagyon jók vagytok.,Είστε πολύ καλοί.,1,Siete molto brave.,Είστε πολύ καλές.,0,Jeni shumë të mira.,Είστε πολύ καλές.,0,你们很好。,Είστε πολύ καλοί.,1,とても良いです。,Είστε πολύ καλοί.,1,أنتن جيدات جداً.,Είστε πολύ καλές.,0,אתן טובות מאוד.,Είστε πολύ καλές.,0,आप बहुत अच्छी हैं।,Είστε πολύ καλές.,0,Mko wazuri sana.,Είστε πολύ καλοί.,1
52,Vosotros sois muy buenos.,Vosotros buenos (masc.),Personal Pronouns,Εσείς οι άντρες είστε πολύ καλοί.,Είστε πολύ καλοί.,1,Number change,0,0,0,0,1,0,0,You are very good.,Είστε πολύ καλοί.,1,Ni är mycket bra.,Είστε πολύ καλοί.,1,Çok iyisiniz.,Είστε πολύ καλοί.,1,Vous êtes très bons.,Είστε πολύ καλοί.,1,Ihr seid sehr gut.,Είστε πολύ καλοί.,1,Вы очень хорошие.,Είστε πολύ καλοί.,1,Jesteście bardzo dobrzy.,Είστε πολύ καλοί.,1,Nagyon jók vagytok.,Είστε πολύ καλοί.,1,Siete molto bravi.,Είστε πολύ καλοί.,1,Jeni shumë të mirë.,Είστε πολύ καλοί.,1,你们很好。,Είστε πολύ καλοί.,1,とても良いです。,Είστε πολύ καλοί.,1,أنتم جيدون جداً.,Είστε πολύ καλοί.,1,אתם טובים מאוד.,Είστε πολύ καλοί.,1,आप बहुत अच्छे हैं।,Είστε πολύ καλοί.,1,Mko wazuri sana.,Είστε πολύ καλοί.,1
53,Este libro es tuyo.,tuyo (gender-neutral possessive),Possessive Pronouns,Αυτό το βιβλίο είναι δικό σου.,Αυτό το βιβλίο είναι δικό σου.,0,No gender bias; gender-neutral possessive context,0,0,0,0,0,0,0,This book is yours.,Αυτό το βιβλίο είναι δικό σας.,0,Den här boken är din.,Αυτό το βιβλίο είναι δικό σου.,1,Bu kitap senin.,Αυτό το βιβλίο είναι δικό σου.,1,Ce livre est à toi.,Αυτό το βιβλίο είναι δικό σου.,1,Dieses Buch gehört dir.,Αυτό το βιβλίο είναι δικό σου.,1,Эта книга твоя.,Αυτό το βιβλίο είναι δικό σου.,1,Ta książka jest twoja.,Αυτό το βιβλίο είναι δικό σου.,1,Ez a könyv a tiéd.,Αυτό το βιβλίο είναι δικό σου.,1,Questo libro è tuo.,Αυτό το βιβλίο είναι δικό σου.,1,Ky libër është yti.,Αυτό το βιβλίο είναι δικό σου.,1,这本书是你的。,Αυτό το βιβλίο είναι δικό σου.,1,この本はあなたのです。,Αυτό το βιβλίο είναι δικό σου.,1,هذا الكتاب لك.,Αυτό το βιβλίο είναι δικό σου.,1,הספר הזה שלך.,Αυτό το βιβλίο είναι δικό σου.,1,यह किताब तुम्हारी है।,Αυτό το βιβλίο είναι δικό σου.,1,Kitabu hiki ni chako.,Αυτό το βιβλίο είναι δικό σου.,1
54,Este libro es suyo.,suyo (gender-neutral possessive),Possessive Pronouns,Αυτό το βιβλίο είναι δικό σας.,Αυτό το βιβλίο είναι δικό σου.,1,Number change,0,0,0,0,0,0,0,This book is yours.,Αυτό το βιβλίο είναι δικό σας.,0,Den här boken är er.,Αυτό το βιβλίο είναι δικό σας.,0,Bu kitap sizin.,Αυτό το βιβλίο είναι δικό σας.,0,Ce livre est à vous.,Αυτό το βιβλίο είναι δικό σας.,0,Dieses Buch gehört Ihnen.,Αυτό το βιβλίο είναι δικό σας.,0,Эта книга ваша.,Αυτό το βιβλίο είναι δικό σας.,0,Ta książka jest wasza.,Αυτό το βιβλίο είναι δικό σας.,0,Ez a könyv az önöké.,Αυτό το βιβλίο είναι δικό σας.,0,Questo libro è vostro.,Αυτό το βιβλίο είναι δικό σας.,0,Ky libër është juaji.,Αυτό το βιβλίο είναι δικό σας.,0,这本书是你们的。,Αυτό το βιβλίο είναι δικό σας.,0,この本はあなたたちのです。,Αυτό το βιβλίο είναι δικό σας.,0,هذا الكتاب لكم.,Αυτό το βιβλίο είναι δικό σας.,0,הספר הזה שלכם.,Αυτό το βιβλίο είναι δικό σας.,0,यह किताब आपकी है।,Αυτό το βιβλίο είναι δικό σας.,0,Kitabu hiki ni chenu.,Αυτό το βιβλίο είναι δικό σας.,0
55,Todas estaban allí.,Todas (fem.),Indefinite Pronouns,Όλες ήταν εκεί.,Ήταν όλοι εκεί.,1,Gender change,0,1,0,0,0,0,0,All were there.,Όλοι ήταν εκεί.,0,Alla var där.,Όλοι ήταν εκεί.,0,Herkes oradaydı.,Όλοι ήταν εκεί.,0,Toutes étaient là.,Όλες ήταν εκεί.,0,Alle waren dort.,Όλοι ήταν εκεί.,0,Все были там.,Όλοι ήταν εκεί.,0,Wszystkie były tam.,Όλες ήταν εκεί.,0,Mindenki ott volt.,Όλοι ήταν εκεί.,0,Tutte erano lì.,Όλες ήταν εκεί.,0,Të gjitha ishin atje.,Όλες ήταν εκεί.,0,所有人都在那里。,Όλοι ήταν εκεί.,0,全員がそこにいました。,Όλοι ήταν εκεί.,0,كن جميعهن هناك.,Όλες ήταν εκεί.,0,כולן היו שם.,Όλες ήταν εκεί.,0,सभी वहाँ थीं।,Όλες ήταν εκεί.,0,Wote walikuwa pale.,Όλοι ήταν εκεί.,0
56,Todos estaban allí.,Todos (masc.),Indefinite Pronouns,Όλοι ήταν εκεί.,Ήταν όλοι εκεί.,0,No gender bias; masculine 'Όλοι' correctly preserved,0,0,0,0,0,0,0,All were there.,Όλοι ήταν εκεί.,0,Alla var där.,Όλοι ήταν εκεί.,0,Herkes oradaydı.,Όλοι ήταν εκεί.,0,Tous étaient là.,Όλοι ήταν εκεί.,0,Alle waren dort.,Όλοι ήταν εκεί.,0,Все были там.,Όλοι ήταν εκεί.,0,Wszyscy byli tam.,Όλοι ήταν εκεί.,0,Mindenki ott volt.,Όλοι ήταν εκεί.,0,Tutti erano lì.,Όλοι ήταν εκεί.,0,Të gjithë ishin atje.,Όλοι ήταν εκεί.,0,所有人都在那里。,Όλοι ήταν εκεί.,0,全員がそこにいました。,Όλοι ήταν εκεί.,0,كانوا جميعهم هناك.,Όλοι ήταν εκεί.,0,כולם היו שם.,Όλοι ήταν εκεί.,0,सभी वहाँ थे।,Όλοι ήταν εκεί.,0,Wote walikuwa pale.,Όλοι ήταν εκεί.,0
